Provinsi,2017,2018,2019,2020,2021,2022
ACEH,51.46,50.14,49.96,48.19,50.35,50.68
SUMATERA UTARA,52.96,51.84,51.03,50.14,48.96,50.76
SUMATERA BARAT,50.56,48.45,48.33,48.12,48.44,49.21
RIAU,49.28,46.42,45.94,45.02,45.14,47.25
JAMBI,48.84,49.07,48.02,46.62,47.2,47.16
SUMATERA SELATAN,49.65,47.14,46.88,47.83,47.71,49.61
BENGKULU,43.3,42.46,42.77,42.68,43.99,46.38
LAMPUNG,49.49,47.61,47.92,47.74,47.31,48.84
KEP. BANGKA BELITUNG,49.65,47.47,47.75,48.75,49.04,50.91
KEP. RIAU,47.74,46.77,43.66,44.49,44.11,45.38
DKI JAKARTA,39.94,41.58,40.7,41.84,39.54,37.75
JAWA BARAT,48.68,46.93,47.94,47.7,47.36,47.36
JAWA TENGAH,47.34,46.33,46.31,46.34,46.91,48.23
DAERAH ISTIMEWA YOGYAKARTA,40.25,38.66,38.65,39.17,40,40.72
JAWA TIMUR,46.45,46.37,45.1,45.69,46.68,48.01
BANTEN,47,45.63,46.86,47.62,46.66,48.85
BALI,40.75,41.81,42.27,42.7,40.93,40.21
NUSA TENGGARA BARAT,51.61,54.68,50.62,50.63,50.93,54.85
NUSA TENGGARA TIMUR,47.45,48.33,46.79,46.04,47.5,46.24
KALIMANTAN BARAT,48.89,45.5,46.44,46.15,47.14,48.99
KALIMANTAN TENGAH,48.36,46.67,46.62,45.85,46.74,48.11
KALIMANTAN SELATAN,48.1,47.25,46.21,47.02,46.72,48.18
KALIMANTAN TIMUR,43.39,42.92,42.6,42.78,40.61,43.15
KALIMANTAN UTARA,49.31,45.51,46.54,45.21,45.46,45.97
SULAWESI UTARA,50.29,43.84,46.37,45.17,48.02,51.75
SULAWESI TENGAH,45.06,43.34,46.09,43.4,43.09,46.08
SULAWESI SELATAN,42.76,45.46,43.86,44.99,44.46,46.37
SULAWESI TENGGARA,42.57,42.53,42.21,43.46,42.92,43.09
GORONTALO,43.59,43.4,40.79,39.6,42.63,40.04
SULAWESI BARAT,47.32,47.41,46.54,44.44,43.98,43.61
MALUKU,48.68,47.65,46.65,45.11,44.45,46.28
MALUKU UTARA,45.14,43.16,43.24,43.28,44.7,45.69
IRIAN JAYA BARAT,43.43,45.65,45.72,46.26,44.2,46.27
IRIAN JAYA TIMUR,49.88,46.64,47.02,46.84,47.94,48.01
IRIAN JAYA TENGAH,49.88,46.64,47.02,46.84,47.94,48.01
INDONESIA,46.7,45.98,45.9,46.05,45.81,46.54
